,State,Issuer_Name,Issuer_ID,Plan_ID,Plan_Type,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Enrollment_Data,Disenrollment_Data,ReportingUnitID,OverallRatingValue,MedicalCareRatingValue,MemberExperienceRatingValue,PlanAdministratioatingValue
10,MI,Oscar Insurance Company,77739,77739MI0070011,EPO,Catastrophic,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,27,17,0,16,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,57,16,77739-MI-EPO,0,0,0,0
11,MI,Oscar Insurance Company,77739,77739MI0070003,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,299,165,0,137,0,0,0,57,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,361,66,77739-MI-EPO,0,0,0,0
12,MI,Oscar Insurance Company,77739,77739MI0070013,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,54,33,0,32,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
13,MI,Oscar Insurance Company,77739,77739MI0070002,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
14,MI,Oscar Insurance Company,77739,77739MI0070012,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
15,MI,Oscar Insurance Company,77739,77739MI0070014,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
16,MI,Oscar Insurance Company,77739,77739MI0070015,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
17,MI,Oscar Insurance Company,77739,77739MI0070020,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
18,MI,Oscar Insurance Company,77739,77739MI0070021,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
19,MI,Oscar Insurance Company,77739,77739MI0070022,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
20,MI,Oscar Insurance Company,77739,77739MI0070024,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
21,MI,Oscar Insurance Company,77739,77739MI0070025,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
22,MI,Oscar Insurance Company,77739,77739MI0070026,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
23,MI,Oscar Insurance Company,77739,77739MI0070027,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
24,MI,Oscar Insurance Company,77739,77739MI0070028,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
25,MI,Oscar Insurance Company,77739,77739MI0070029,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
26,MI,Oscar Insurance Company,77739,77739MI0070030,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
27,MI,Oscar Insurance Company,77739,77739MI0070033,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
28,MI,Oscar Insurance Company,77739,77739MI0070035,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
29,MI,Oscar Insurance Company,77739,77739MI0070036,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
30,MI,Oscar Insurance Company,77739,77739MI0070037,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
31,MI,Oscar Insurance Company,77739,77739MI0070038,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
32,MI,Oscar Insurance Company,77739,77739MI0070039,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
33,MI,Oscar Insurance Company,77739,77739MI0070042,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
34,MI,Oscar Insurance Company,77739,77739MI0070043,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=mi&currentLocale=en,2692,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,77739-MI-EPO,0,0,0,0
35,GA,CareSource Georgia Co.,60224,60224GA0010004,HMO,Silver,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,14384,4733,643,907,778,0,0,3100,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,219,25,60224-GA-HMO,0,0,0,0
36,GA,CareSource Georgia Co.,60224,60224GA0010003,HMO,Silver,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,186880,57582,6616,16030,9485,0,0,38993,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,4138,453,60224-GA-HMO,0,0,0,0
37,GA,CareSource Georgia Co.,60224,60224GA0010006,HMO,Bronze Expanded,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,20105,6436,787,2091,1070,0,0,4188,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,1035,105,60224-GA-HMO,0,0,0,0
38,GA,CareSource Georgia Co.,60224,60224GA0020003,HMO,Silver,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,23064,4049,292,3698,1401,0,0,2286,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,1302,197,60224-GA-HMO,0,0,0,0
39,GA,CareSource Georgia Co.,60224,60224GA0010001,HMO,Bronze Expanded,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,242863,81518,9727,21937,12578,0,0,53702,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,13532,2329,60224-GA-HMO,0,0,0,0
40,GA,CareSource Georgia Co.,60224,60224GA0020005,HMO,Silver,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,3008,406,30,429,101,0,0,264,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,153,46,60224-GA-HMO,0,0,0,0
41,GA,CareSource Georgia Co.,60224,60224GA0010002,HMO,Gold,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,32802,11416,1579,2078,1602,0,0,7552,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,518,45,60224-GA-HMO,0,0,0,0
42,GA,CareSource Georgia Co.,60224,60224GA0020001,HMO,Bronze Expanded,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,45983,7423,262,7899,2438,0,0,4500,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,5322,1587,60224-GA-HMO,0,0,0,0
43,GA,CareSource Georgia Co.,60224,60224GA0020004,HMO,Silver,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,5288,609,60,827,201,0,0,341,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,274,53,60224-GA-HMO,0,0,0,0
44,GA,CareSource Georgia Co.,60224,60224GA0010005,HMO,Silver,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,5938,2129,265,313,313,0,0,1440,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,95,12,60224-GA-HMO,0,0,0,0
45,GA,CareSource Georgia Co.,60224,60224GA0020002,HMO,Gold,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,8201,1265,102,1108,479,0,0,636,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,429,127,60224-GA-HMO,0,0,0,0
46,GA,CareSource Georgia Co.,60224,60224GA0010007,HMO,Bronze,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,0,0,60224-GA-HMO,0,0,0,0
47,GA,CareSource Georgia Co.,60224,60224GA0020007,HMO,Bronze,https://www.caresource.com/ga/plans/marketplace/plan-documents/general-plan-information/,588516,177566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15710&:refresh,0,0,60224-GA-HMO,0,0,0,0
48,TN,Oscar Insurance Company,23552,23552TN0020011,EPO,Catastrophic,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,1075,834,0,716,55,0,0,121,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,473,294,23552-TN-EPO,3,2,4,4
49,TN,Oscar Insurance Company,23552,23552TN0020013,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,205,190,0,182,0,0,0,12,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,50,19,23552-TN-EPO,3,2,4,4
50,TN,Oscar Insurance Company,23552,23552TN0020001,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,3716,2985,0,2645,38,0,25,338,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,1306,380,23552-TN-EPO,3,2,4,4
51,TN,Oscar Insurance Company,23552,23552TN0020003,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,4577,3646,0,3032,159,0,66,580,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,1188,342,23552-TN-EPO,3,2,4,4
52,TN,Oscar Insurance Company,23552,23552TN0020008,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,4881,4065,0,3549,179,13,45,610,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,1119,156,23552-TN-EPO,3,2,4,4
53,TN,Oscar Insurance Company,23552,23552TN0020005,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,5882,4762,19,4237,295,0,17,555,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,1847,210,23552-TN-EPO,3,2,4,4
54,TN,Oscar Insurance Company,23552,23552TN0020006,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,7345,5819,36,5059,67,0,69,955,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,1339,237,23552-TN-EPO,3,2,4,4
55,TN,Oscar Insurance Company,23552,23552TN0020002,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
56,TN,Oscar Insurance Company,23552,23552TN0020012,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
57,TN,Oscar Insurance Company,23552,23552TN0020014,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
58,TN,Oscar Insurance Company,23552,23552TN0020016,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
59,TN,Oscar Insurance Company,23552,23552TN0020017,EPO,Silver,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
60,TN,Oscar Insurance Company,23552,23552TN0020021,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
61,TN,Oscar Insurance Company,23552,23552TN0020023,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
62,TN,Oscar Insurance Company,23552,23552TN0020024,EPO,Bronze Expanded,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
63,TN,Oscar Insurance Company,23552,23552TN0020037,EPO,Gold,http://hioscar.com/forms/2022/?currentRegion=tn&currentLocale=en,27681,22301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15777&:refresh,0,0,23552-TN-EPO,3,2,4,4
64,ND,Medica Health Plans,73751,73751ND0120013,HMO,Catastrophic,https://www.medica.com/tips,18883,3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=52626&:refresh,0,0,73751-ND-HMO,0,0,0,0
65,ND,Medica Health Plans,73751,73751ND0120029,HMO,Bronze Expanded,https://www.medica.com/tips,18883,3305,0,0,0,0,0,0,1094,171,31,0,14,0,0,124,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=52626&:refresh,64,0,73751-ND-HMO,0,0,0,0
